id,begin_date,end_date,type,paperless_billing,payment_method,monthly_charges,total_charges,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target
3610,2017-04-01,,Month-to-month,Yes,Bank transfer (automatic),97.7,3410.0,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,Yes,Yes,Yes,0
3618,2019-11-01,,Month-to-month,Yes,Electronic check,69.85,199.85,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
5849,2014-03-01,,Two year,Yes,Credit card (automatic),90.55,6239.05,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0
5851,2017-04-01,,One year,Yes,Mailed check,60.8,2042.05,DSL,Yes,Yes,Yes,No,No,No,Female,0,Yes,Yes,No,0
5853,2017-09-01,,Month-to-month,Yes,Credit card (automatic),98.8,2807.1,Fiber optic,No,No,Yes,Yes,Yes,Yes,Male,0,No,No,No,0
5855,2016-10-01,,One year,Yes,Credit card (automatic),98.15,4116.8,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Male,1,Yes,No,No,0
5857,2017-02-01,,One year,No,Mailed check,35.35,1317.95,DSL,Yes,No,Yes,No,No,No,Male,0,Yes,No,No,0
5859,2016-04-01,,One year,Yes,Electronic check,103.15,4594.65,Fiber optic,No,Yes,No,Yes,Yes,Yes,Female,0,Yes,No,Yes,0
5861,2015-04-01,,One year,Yes,Electronic check,107.75,6332.75,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,0,No,No,Yes,0
5863,2016-11-01,,One year,No,Credit card (automatic),81.4,3213.75,Fiber optic,No,Yes,No,No,No,No,Male,0,No,No,Yes,0
5865,2019-09-01,2020-01-01,Month-to-month,No,Credit card (automatic),61.45,229.55,DSL,No,No,No,Yes,No,Yes,Male,0,Yes,Yes,No,1
5867,2015-10-01,,One year,Yes,Credit card (automatic),95.7,4976.15,Fiber optic,No,Yes,Yes,No,Yes,No,Female,0,Yes,Yes,Yes,0
5869,2014-04-01,,One year,Yes,Electronic check,104.8,7308.95,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,1,Yes,No,Yes,0
5870,2014-09-01,,One year,Yes,Bank transfer (automatic),70.95,4555.2,Fiber optic,No,No,No,No,No,No,Male,1,Yes,No,No,0
5872,2020-01-01,,Month-to-month,Yes,Mailed check,44.95,44.95,DSL,No,No,No,No,No,No,Male,0,No,No,No,0
5847,2013-10-01,2019-10-01,Two year,Yes,Bank transfer (automatic),104.15,7689.95,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,1,Yes,No,Yes,1
3772,2015-02-01,,Month-to-month,Yes,Bank transfer (automatic),103.75,5969.95,Fiber optic,No,Yes,No,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
3774,2019-03-01,,One year,No,Mailed check,19.5,226.8,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
3778,2018-05-01,,Month-to-month,Yes,Electronic check,26.05,565.75,DSL,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
3780,2016-02-01,,Month-to-month,Yes,Credit card (automatic),91.05,4370.75,Fiber optic,No,No,Yes,No,No,Yes,Male,1,Yes,No,Yes,0
3782,2019-11-01,,Month-to-month,No,Mailed check,29.65,90.05,DSL,No,Yes,No,No,No,No,Female,0,No,Yes,No,0
3784,2016-07-01,,Month-to-month,No,Mailed check,50.2,2169.4,DSL,No,Yes,No,No,No,No,Female,0,Yes,Yes,No,0
3786,2019-09-01,,Month-to-month,No,Electronic check,105.3,550.6,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,0
3788,2020-01-01,,Month-to-month,Yes,Electronic check,55.45,55.45,DSL,No,No,No,No,No,Yes,Female,0,No,No,No,0
3790,2014-03-01,,One year,No,Electronic check,85.45,6300.85,DSL,Yes,No,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
3792,2019-06-01,,One year,No,Electronic check,19.8,160.05,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
482,2019-03-01,,Two year,No,Mailed check,19.65,225.75,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
5966,2015-03-01,,Two year,Yes,Mailed check,76.45,4519.5,DSL,Yes,No,Yes,Yes,Yes,No,Female,0,Yes,Yes,Yes,0
3988,2017-06-01,2020-01-01,Month-to-month,Yes,Electronic check,55.25,1715.65,DSL,No,No,Yes,Yes,No,No,Male,0,No,No,No,1
3990,2014-06-01,,One year,Yes,Electronic check,78.45,5333.35,DSL,Yes,Yes,Yes,Yes,No,Yes,Female,0,Yes,Yes,Yes,0
3992,2016-11-01,,Two year,No,Mailed check,100.55,3895.35,Fiber optic,No,No,No,Yes,Yes,Yes,Male,0,No,Yes,Yes,0
5042,2019-09-01,,Month-to-month,No,Mailed check,19.95,107.05,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
5043,2019-12-01,,Month-to-month,No,Mailed check,19.95,38.15,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
5045,2014-02-01,,Two year,No,Credit card (automatic),89.7,6339.3,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
4073,2014-03-01,,Two year,Yes,Credit card (automatic),24.45,1681.6,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,Yes,0
4299,2020-01-01,,Month-to-month,No,Credit card (automatic),19.8,19.8,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
4382,2019-05-01,2019-10-01,Month-to-month,Yes,Electronic check,78.75,412.1,Fiber optic,No,Yes,No,No,No,No,Male,0,Yes,No,Yes,1
1005,2019-04-01,2019-11-01,Month-to-month,Yes,Electronic check,95.35,660.9,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,No,No,No,1
4384,2014-02-01,,Two year,Yes,Credit card (automatic),116.75,8277.05,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,1,Yes,No,Yes,0
4386,2019-04-01,2019-12-01,Month-to-month,Yes,Credit card (automatic),80.45,583.45,Fiber optic,No,No,No,No,Yes,No,Male,1,Yes,Yes,No,1
4388,2019-07-01,,One year,Yes,Electronic check,59.1,369.25,DSL,Yes,No,No,No,No,Yes,Female,0,No,No,No,0
4567,2017-12-01,2020-01-01,One year,No,Mailed check,74.3,1863.8,DSL,Yes,Yes,Yes,Yes,Yes,No,Female,0,No,No,No,1
6752,2017-03-01,,One year,No,Mailed check,19.65,708.8,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
6884,2017-06-01,,One year,No,Mailed check,19.3,593.2,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,No,0
4858,2014-05-01,,Two year,Yes,Electronic check,116.0,8182.85,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,0
5521,2014-09-01,,One year,No,Credit card (automatic),24.8,1600.95,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,0
6939,2018-02-01,,Two year,No,Mailed check,20.75,487.05,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
6958,2016-11-01,,Month-to-month,Yes,Electronic check,99.75,4036.0,Fiber optic,No,No,Yes,No,Yes,Yes,Female,1,No,No,Yes,0
6959,2016-05-01,,Two year,Yes,Bank transfer (automatic),109.75,4900.65,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
7004,2019-07-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),74.8,321.9,Fiber optic,No,No,Yes,No,No,No,Male,0,No,No,No,1
7006,2014-02-01,,Two year,Yes,Credit card (automatic),114.3,8058.55,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
5113,2018-08-01,2020-01-01,One year,Yes,Mailed check,55.85,937.5,DSL,No,No,Yes,No,No,No,Female,0,No,Yes,Yes,1
5114,2014-10-01,,Two year,Yes,Mailed check,24.05,1559.15,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,0
5116,2018-01-01,,One year,Yes,Credit card (automatic),38.1,970.4,DSL,No,No,Yes,No,Yes,No,Male,0,Yes,No,No,0
5118,2018-02-01,2020-01-01,Month-to-month,Yes,Electronic check,106.4,2483.5,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,1,No,No,Yes,1
5120,2018-02-01,,Month-to-month,No,Mailed check,34.25,828.2,DSL,No,No,Yes,Yes,No,No,Male,1,Yes,No,No,0
5122,2017-01-01,,Month-to-month,Yes,Electronic check,100.05,3810.55,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,No,No,Yes,0
5124,2018-05-01,,Month-to-month,Yes,Electronic check,68.65,1493.2,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
5126,2020-01-01,,Month-to-month,Yes,Mailed check,45.8,45.8,DSL,No,No,No,No,No,No,Male,0,No,No,No,0
